,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
parties___Anything Goes with Emma Chamberlain,0.643,0.702,2,-7.196,0,0.0273,0.00319,0.126,0.147,0.56,123.997,audio_features,2CBGebMHdA7tZbPJes8V0j,spotify:track:2CBGebMHdA7tZbPJes8V0j,https://api.spotify.com/v1/tracks/2CBGebMHdA7tZbPJes8V0j,https://api.spotify.com/v1/audio-analysis/2CBGebMHdA7tZbPJes8V0j,226636,4,Altogether,1GNrWfto3JCQzeEArmr8wf
my hair fell out [video]___Anything Goes with Emma Chamberlain,0.686,0.526,0,-6.842,1,0.0374,0.0815,7.75E-06,0.144,0.372,92.013,audio_features,6u7gmPOz7pzzaeR9xSBpsR,spotify:track:6u7gmPOz7pzzaeR9xSBpsR,https://api.spotify.com/v1/tracks/6u7gmPOz7pzzaeR9xSBpsR,https://api.spotify.com/v1/audio-analysis/6u7gmPOz7pzzaeR9xSBpsR,158436,4,Positions,3euz4vS7ezKGnNSwgyvKcd
My Cherie Amour___Stevie Wonder,0.574,0.507,6,-11.343,1,0.0258,0.228,4.57E-06,0.279,0.514,101.085,audio_features,5ZoDwIP1ntHwciLjydJ8X2,spotify:track:5ZoDwIP1ntHwciLjydJ8X2,https://api.spotify.com/v1/tracks/5ZoDwIP1ntHwciLjydJ8X2,https://api.spotify.com/v1/audio-analysis/5ZoDwIP1ntHwciLjydJ8X2,173307,4,My Cherie Amour,51DUbu4v2tjYXxgy4I8vrG
how to glow in the f***ing dark with Tara Schuster___Circle Time,0.687,0.617,2,-5.93,0,0.0295,0.123,0,0.185,0.706,104.006,audio_features,37CeMeSFSYwXX0Uw2XdLvk,spotify:track:37CeMeSFSYwXX0Uw2XdLvk,https://api.spotify.com/v1/tracks/37CeMeSFSYwXX0Uw2XdLvk,https://api.spotify.com/v1/audio-analysis/37CeMeSFSYwXX0Uw2XdLvk,236221,4,Glowing in the Dark,1OFkcbqleM3vrtKJLLR8pV
WICKED___MILKBLOOD,0.624,0.661,7,-5.388,0,0.168,0.018,0.0281,0.159,0.601,94.009,audio_features,5b7gKOgD33l2iGFgoiVF1I,spotify:track:5b7gKOgD33l2iGFgoiVF1I,https://api.spotify.com/v1/tracks/5b7gKOgD33l2iGFgoiVF1I,https://api.spotify.com/v1/audio-analysis/5b7gKOgD33l2iGFgoiVF1I,210028,4,WICKED,3F6tIMetVWEymoC9GskqmA
Feeling Whitney___Post Malone,0.412,0.227,0,-12.696,1,0.0359,0.787,4.69E-06,0.282,0.226,80.111,audio_features,35r28RDot7nPE7y9K9H7l0,spotify:track:35r28RDot7nPE7y9K9H7l0,https://api.spotify.com/v1/tracks/35r28RDot7nPE7y9K9H7l0,https://api.spotify.com/v1/audio-analysis/35r28RDot7nPE7y9K9H7l0,257267,4,Stoney (Deluxe),5s0rmjP8XOPhP6HhqOhuyC
The Thrill___Wiz Khalifa,0.817,0.775,10,-4.767,0,0.108,0.277,0,0.108,0.806,126.984,audio_features,56oGoEjA9eTZYgsttEFKY3,spotify:track:56oGoEjA9eTZYgsttEFKY3,https://api.spotify.com/v1/tracks/56oGoEjA9eTZYgsttEFKY3,https://api.spotify.com/v1/audio-analysis/56oGoEjA9eTZYgsttEFKY3,234334,4,The Thrill,4NtEHyzC02jvTLMERHn6Rw
Fantasy___THE DRIVER ERA,0.669,0.727,7,-7.588,1,0.0353,0.139,0,0.123,0.807,102.322,audio_features,6xkryXuiZU360Lngd4sx13,spotify:track:6xkryXuiZU360Lngd4sx13,https://api.spotify.com/v1/tracks/6xkryXuiZU360Lngd4sx13,https://api.spotify.com/v1/audio-analysis/6xkryXuiZU360Lngd4sx13,243493,4,Daydream,1ibYM4abQtSVQFQWvDSo4J
Heat Lightning___Mitski,0.542,0.268,0,-13.54,1,0.0256,0.682,0.00697,0.14,0.255,139.973,audio_features,01vuMD0IeeHeQTSUk0f7iK,spotify:track:01vuMD0IeeHeQTSUk0f7iK,https://api.spotify.com/v1/tracks/01vuMD0IeeHeQTSUk0f7iK,https://api.spotify.com/v1/audio-analysis/01vuMD0IeeHeQTSUk0f7iK,171931,4,Laurel Hell,4rcinMUHEWOxpIwJo2sf22
Rose Colored Lenses___Miley Cyrus,0.539,0.503,2,-5.338,1,0.0385,0.0574,2.34E-05,0.0847,0.836,174.068,audio_features,3wH4eUkJ1rL5xTU8PZZyOy,spotify:track:3wH4eUkJ1rL5xTU8PZZyOy,https://api.spotify.com/v1/tracks/3wH4eUkJ1rL5xTU8PZZyOy,https://api.spotify.com/v1/audio-analysis/3wH4eUkJ1rL5xTU8PZZyOy,223787,4,Endless Summer Vacation,0HiZ8fNXwJOQcrf5iflrdz
Kujira Koujou___Maison book girl,0.526,0.965,5,-3.105,1,0.0413,0.248,8.63E-06,0.247,0.826,172.934,audio_features,4mipauSq5pxrkjY01IyTV0,spotify:track:4mipauSq5pxrkjY01IyTV0,https://api.spotify.com/v1/tracks/4mipauSq5pxrkjY01IyTV0,https://api.spotify.com/v1/audio-analysis/4mipauSq5pxrkjY01IyTV0,215213,4,Umi to Uchu no Kodomotachi,1YzkIE6xn4n5W9cnGU5foT
So My Darling___Rachel Chinouriri,0.568,0.238,9,-11.111,1,0.0457,0.907,8.21E-06,0.135,0.563,137.958,audio_features,5NtmfJwkA0AXsp2WWHviPn,spotify:track:5NtmfJwkA0AXsp2WWHviPn,https://api.spotify.com/v1/tracks/5NtmfJwkA0AXsp2WWHviPn,https://api.spotify.com/v1/audio-analysis/5NtmfJwkA0AXsp2WWHviPn,228923,4,So My Darling (Acoustic),2FceNexUuKIatc3YFEq08L
2 Young 2 Die___Hippo Campus,0.501,0.66,7,-8.099,1,0.079,0.26,0.00106,0.141,0.298,110.112,audio_features,3OrarbuyYqIoYUsPRApBK3,spotify:track:3OrarbuyYqIoYUsPRApBK3,https://api.spotify.com/v1/tracks/3OrarbuyYqIoYUsPRApBK3,https://api.spotify.com/v1/audio-analysis/3OrarbuyYqIoYUsPRApBK3,220516,4,LP3,08I3iemI4Gfn7kp4wm9FmX
Big Brother___Kanye West,0.498,0.742,11,-6.248,0,0.259,0.214,0,0.0642,0.302,78.428,audio_features,2L47m9erkB5KBZcaqWtYen,spotify:track:2L47m9erkB5KBZcaqWtYen,https://api.spotify.com/v1/tracks/2L47m9erkB5KBZcaqWtYen,https://api.spotify.com/v1/audio-analysis/2L47m9erkB5KBZcaqWtYen,287560,4,Graduation,4SZko61aMnmgvNhfhgTuD3
Walking On Sunshine___Katrina & The Waves,0.596,0.869,10,-11.97,1,0.037,0.0116,0.173,0.0678,0.944,109.902,audio_features,05wIrZSwuaVWhcv5FfqeH0,spotify:track:05wIrZSwuaVWhcv5FfqeH0,https://api.spotify.com/v1/tracks/05wIrZSwuaVWhcv5FfqeH0,https://api.spotify.com/v1/audio-analysis/05wIrZSwuaVWhcv5FfqeH0,238733,4,Katrina & The Waves,1UQG78YJjaBySRMh0A8Uw7
Oncle Jazz___Men I Trust,0.712,0.308,0,-16.776,0,0.0519,0.535,0.816,0.0813,0.246,139.995,audio_features,204t5SErksNRHRhU52g5JF,spotify:track:204t5SErksNRHRhU52g5JF,https://api.spotify.com/v1/tracks/204t5SErksNRHRhU52g5JF,https://api.spotify.com/v1/audio-analysis/204t5SErksNRHRhU52g5JF,57877,4,Oncle Jazz,4W4gNYa4tt3t8V6FmONWEK
Mercy Mercy Me (The Ecology) - You Only Live Once B-Side___The Strokes,0.449,0.875,10,-5.347,0,0.062,6.90E-06,0.145,0.0664,0.804,91.956,audio_features,2sXWm9aau5alAxKifepUpA,spotify:track:2sXWm9aau5alAxKifepUpA,https://api.spotify.com/v1/tracks/2sXWm9aau5alAxKifepUpA,https://api.spotify.com/v1/audio-analysis/2sXWm9aau5alAxKifepUpA,157920,4,The Singles - Volume 01,2j5jqlI0NvqlXAy9C740pZ
Here's Where The Story Ends___The Sundays,0.62,0.593,7,-10.985,1,0.0281,0.294,0,0.0749,0.833,109.044,audio_features,4SPi5Pl7aAtauFsH9Lk5LB,spotify:track:4SPi5Pl7aAtauFsH9Lk5LB,https://api.spotify.com/v1/tracks/4SPi5Pl7aAtauFsH9Lk5LB,https://api.spotify.com/v1/audio-analysis/4SPi5Pl7aAtauFsH9Lk5LB,234907,4,"Reading, Writing & Arithmetic",4bofszhtDfGY6smHBGeyTT
Girls and boys___underscores,0.6,0.716,0,-4.142,1,0.0588,0.0486,1.68E-06,0.553,0.86,139.982,audio_features,7rY5tO0WBaSgZLinLCbxrC,spotify:track:7rY5tO0WBaSgZLinLCbxrC,https://api.spotify.com/v1/tracks/7rY5tO0WBaSgZLinLCbxrC,https://api.spotify.com/v1/audio-analysis/7rY5tO0WBaSgZLinLCbxrC,198214,4,boneyard aka fearmonger,0d5AkUvivi6Y6Vyv8OYjZO
New Home (Slowed)___Austin Farwell,0.356,0.00558,11,-27.72,1,0.0417,0.99,0.934,0.0991,0.122,70.012,audio_features,6h6runZeeczWEuEW2pFvYW,spotify:track:6h6runZeeczWEuEW2pFvYW,https://api.spotify.com/v1/tracks/6h6runZeeczWEuEW2pFvYW,https://api.spotify.com/v1/audio-analysis/6h6runZeeczWEuEW2pFvYW,174521,4,New Home (Slowed),5abrKr37SdeemQnTuKewVq
Why___Dominic Fike,0.684,0.856,6,-2.676,1,0.0411,0.342,0.00728,0.109,0.343,117.027,audio_features,1xLs8Mu1QEVbGCpyHQ2r2U,spotify:track:1xLs8Mu1QEVbGCpyHQ2r2U,https://api.spotify.com/v1/tracks/1xLs8Mu1QEVbGCpyHQ2r2U,https://api.spotify.com/v1/audio-analysis/1xLs8Mu1QEVbGCpyHQ2r2U,139907,4,What Could Possibly Go Wrong,1BubKJqf6Uc4fNae5kLJJ7
Second Nature___Dayglow,0.744,0.896,7,-3.191,1,0.0381,0.0827,0.00156,0.0696,0.743,115.038,audio_features,0fiViisu7WflcoY6YedSnq,spotify:track:0fiViisu7WflcoY6YedSnq,https://api.spotify.com/v1/tracks/0fiViisu7WflcoY6YedSnq,https://api.spotify.com/v1/audio-analysis/0fiViisu7WflcoY6YedSnq,347147,4,People In Motion,1ZhWoKlwX8xztzoLcFGiIs
FEEL.___Kendrick Lamar,0.746,0.798,0,-8.382,1,0.349,0.137,0,0.139,0.553,109.968,audio_features,2LTlO3NuNVN70lp2ZbVswF,spotify:track:2LTlO3NuNVN70lp2ZbVswF,https://api.spotify.com/v1/tracks/2LTlO3NuNVN70lp2ZbVswF,https://api.spotify.com/v1/audio-analysis/2LTlO3NuNVN70lp2ZbVswF,214827,4,DAMN.,4eLPsYPBmXABThSJ821sqY
Countdown - Homecoming Live___Beyoncé,0.57,0.805,0,-9.217,1,0.293,0.00413,0,0.557,0.444,167.333,audio_features,2k0mXTwotQpZKIOIhGwekv,spotify:track:2k0mXTwotQpZKIOIhGwekv,https://api.spotify.com/v1/tracks/2k0mXTwotQpZKIOIhGwekv,https://api.spotify.com/v1/audio-analysis/2k0mXTwotQpZKIOIhGwekv,103235,4,HOMECOMING: THE LIVE ALBUM,35S1JCj5paIfElT2GODl6x
Kill Bill___SZA,0.629,0.744,5,-6.124,0,0.0409,0.0769,0.247,0.194,0.451,89.021,audio_features,0CrcwVLUe8wzLUIXgjXVZJ,spotify:track:0CrcwVLUe8wzLUIXgjXVZJ,https://api.spotify.com/v1/tracks/0CrcwVLUe8wzLUIXgjXVZJ,https://api.spotify.com/v1/audio-analysis/0CrcwVLUe8wzLUIXgjXVZJ,175837,4,Kill Bill (feat. Doja Cat),4OanbmuJAWz8JPVE4cJA9L
Milk Dipped Cloud___Elke,0.613,0.718,4,-6.772,1,0.0308,0.0305,0.0479,0.267,0.629,120.031,audio_features,2xQmWhBTkCz5bnLddVIHt6,spotify:track:2xQmWhBTkCz5bnLddVIHt6,https://api.spotify.com/v1/tracks/2xQmWhBTkCz5bnLddVIHt6,https://api.spotify.com/v1/audio-analysis/2xQmWhBTkCz5bnLddVIHt6,191221,4,Milk Dipped Cloud,3dgSiesMoxo63JZAi7O9Ki
Emma Chamberlain: Why You Shouldn’t “Always Play Hard To Get”___The Pleasure Is Ours,0.415,0.886,4,-9.667,0,0.0364,0.295,0.738,0.154,0.912,186.022,audio_features,5NgvvQ42eG0QU3DFN0O37i,spotify:track:5NgvvQ42eG0QU3DFN0O37i,https://api.spotify.com/v1/tracks/5NgvvQ42eG0QU3DFN0O37i,https://api.spotify.com/v1/audio-analysis/5NgvvQ42eG0QU3DFN0O37i,136777,4,Emma Chamberlain,40n4uLTcmNzLLpgfcag4ai
MOTOMAMI___ROSALÍA,0.887,0.331,2,-7.669,1,0.465,0.637,0.00532,0.0958,0.686,120.022,audio_features,6ygEPi8EtVkUO0Xarcgs63,spotify:track:6ygEPi8EtVkUO0Xarcgs63,https://api.spotify.com/v1/tracks/6ygEPi8EtVkUO0Xarcgs63,https://api.spotify.com/v1/audio-analysis/6ygEPi8EtVkUO0Xarcgs63,61347,4,MOTOMAMI,6jbtHi5R0jMXoliU2OS0lo
This Will Do___Giveon,0.619,0.299,7,-9.183,0,0.0283,0.348,0,0.157,0.369,114.799,audio_features,7GypRHZMWmb81zN90Phu9y,spotify:track:7GypRHZMWmb81zN90Phu9y,https://api.spotify.com/v1/tracks/7GypRHZMWmb81zN90Phu9y,https://api.spotify.com/v1/audio-analysis/7GypRHZMWmb81zN90Phu9y,175150,3,Give Or Take,64LkgCfNbLqjclQYCTid8L
Take A Chance On Me___ABBA,0.684,0.675,11,-8.123,1,0.0257,0.163,0,0.242,0.924,107.064,audio_features,5BckPAYcKEJuYs1eV1BHHe,spotify:track:5BckPAYcKEJuYs1eV1BHHe,https://api.spotify.com/v1/tracks/5BckPAYcKEJuYs1eV1BHHe,https://api.spotify.com/v1/audio-analysis/5BckPAYcKEJuYs1eV1BHHe,243933,4,The Album,5fLOHW1UXr1cJrnXiU3FBt
Woman___Harry Styles,0.624,0.647,3,-4.68,0,0.0335,0.0169,0.0038,0.221,0.379,136.022,audio_features,33bURv895AN4FkBvgFo2dx,spotify:track:33bURv895AN4FkBvgFo2dx,https://api.spotify.com/v1/tracks/33bURv895AN4FkBvgFo2dx,https://api.spotify.com/v1/audio-analysis/33bURv895AN4FkBvgFo2dx,278800,4,Harry Styles,1FZKIm3JVDCxTchXDo5jOV
Funny Thing___Thundercat,0.586,0.893,7,-8.772,1,0.439,0.827,0.642,0.212,0.65,140.023,audio_features,1c5CllrZr45UBhWpIqM332,spotify:track:1c5CllrZr45UBhWpIqM332,https://api.spotify.com/v1/tracks/1c5CllrZr45UBhWpIqM332,https://api.spotify.com/v1/audio-analysis/1c5CllrZr45UBhWpIqM332,116630,3,It Is What It Is,59GRmAvlGs7KjLizFnV7Y9
The Sign___Lizzo,0.705,0.93,0,-3.388,0,0.0932,0.242,0,0.156,0.759,78.971,audio_features,7GSwmKxanoWEdpurOCldDe,spotify:track:7GSwmKxanoWEdpurOCldDe,https://api.spotify.com/v1/tracks/7GSwmKxanoWEdpurOCldDe,https://api.spotify.com/v1/audio-analysis/7GSwmKxanoWEdpurOCldDe,165690,4,Special,1NgFBv1PxMG1zhFDW1OrRr
B.I.T.C.H.___Megan Thee Stallion,0.742,0.731,11,-4.362,0,0.306,0.0851,0,0.131,0.547,174.019,audio_features,06scTb0zbkxYNgpAB3J9fN,spotify:track:06scTb0zbkxYNgpAB3J9fN,https://api.spotify.com/v1/tracks/06scTb0zbkxYNgpAB3J9fN,https://api.spotify.com/v1/audio-analysis/06scTb0zbkxYNgpAB3J9fN,183143,4,B.I.T.C.H.,34LUTyhy4RZkfjvnF0gWu4
Relax___Vacations,0.471,0.881,11,-4.483,0,0.0467,0.0588,0.000378,0.26,0.544,169.898,audio_features,5TuTHrKzN6NweeQaKkBNb7,spotify:track:5TuTHrKzN6NweeQaKkBNb7,https://api.spotify.com/v1/tracks/5TuTHrKzN6NweeQaKkBNb7,https://api.spotify.com/v1/audio-analysis/5TuTHrKzN6NweeQaKkBNb7,158573,4,Vibes,54lNPJ6xq2QXwG6jLEIf6C
On Time___Wallows,0.482,0.491,11,-5.915,1,0.0297,0.546,9.69E-05,0.634,0.352,77.973,audio_features,6KvjMXe9eAhYWZFLxJ6dt8,spotify:track:6KvjMXe9eAhYWZFLxJ6dt8,https://api.spotify.com/v1/tracks/6KvjMXe9eAhYWZFLxJ6dt8,https://api.spotify.com/v1/audio-analysis/6KvjMXe9eAhYWZFLxJ6dt8,169293,4,Remote (Deluxe),7pco4VrxVCaebDX9ZPoJ5b
2AM___SZA,0.504,0.267,9,-13.678,0,0.406,0.438,0,0.141,0.392,83.966,audio_features,3vZGtceCbJVh5aDT4XhE0p,spotify:track:3vZGtceCbJVh5aDT4XhE0p,https://api.spotify.com/v1/tracks/3vZGtceCbJVh5aDT4XhE0p,https://api.spotify.com/v1/audio-analysis/3vZGtceCbJVh5aDT4XhE0p,242823,4,Ctrl (Deluxe),6FKP2O0oOvZlDkF0gyTjiJ
5 Seconds Before Sunrise___VER:WEST,0.648,0.824,3,-8.283,0,0.03,0.00769,0.946,0.381,0.425,121.997,audio_features,0hz9lCgIKOtZthsP2JTPAL,spotify:track:0hz9lCgIKOtZthsP2JTPAL,https://api.spotify.com/v1/tracks/0hz9lCgIKOtZthsP2JTPAL,https://api.spotify.com/v1/audio-analysis/0hz9lCgIKOtZthsP2JTPAL,275437,3,5 Seconds Before Sunrise,1K2ATTJF7dA45WWBAHs4md
Heaven Knows I'm Miserable Now - 2011 Remaster___The Smiths,0.609,0.759,6,-4.862,1,0.0276,0.028,0,0.183,0.774,114.045,audio_features,1xaTREM89RbIxkcjlpf4Uw,spotify:track:1xaTREM89RbIxkcjlpf4Uw,https://api.spotify.com/v1/tracks/1xaTREM89RbIxkcjlpf4Uw,https://api.spotify.com/v1/audio-analysis/1xaTREM89RbIxkcjlpf4Uw,215760,4,Hatful of Hollow,1j57Q5ntVi7crpibb0h4sv
Good Looking___Suki Waterhouse,0.364,0.554,4,-9.076,1,0.0301,0.077,0.000297,0.125,0.257,150.079,audio_features,0j3mqDTK4Z6lvrLzFCUUz6,spotify:track:0j3mqDTK4Z6lvrLzFCUUz6,https://api.spotify.com/v1/tracks/0j3mqDTK4Z6lvrLzFCUUz6,https://api.spotify.com/v1/audio-analysis/0j3mqDTK4Z6lvrLzFCUUz6,214800,3,Good Looking,78rO0EfpVs1RPfpxzF6kUz
Situations___Keyshia Cole,0.658,0.735,5,-4.908,1,0.0343,0.114,0,0.122,0.675,91.053,audio_features,35MsLSdVkqw1jiZob7aryZ,spotify:track:35MsLSdVkqw1jiZob7aryZ,https://api.spotify.com/v1/tracks/35MsLSdVkqw1jiZob7aryZ,https://api.spotify.com/v1/audio-analysis/35MsLSdVkqw1jiZob7aryZ,285867,4,The Way It Is,4zEAsP0RIfbGARdtsgAaUV
Bed Head___God Save The Club Kids,0.409,0.703,5,-5.549,1,0.0687,0.67,0,0.109,0.164,86.063,audio_features,6f9Z4fYAQt6Fsk6yubCAze,spotify:track:6f9Z4fYAQt6Fsk6yubCAze,https://api.spotify.com/v1/tracks/6f9Z4fYAQt6Fsk6yubCAze,https://api.spotify.com/v1/audio-analysis/6f9Z4fYAQt6Fsk6yubCAze,196744,4,Bed Head,5TywpSWQMHtUq6j8Hj6QKF
Close To You___Dayglow,0.876,0.646,6,-5.756,1,0.0435,0.422,0.00195,0.0705,0.832,140.032,audio_features,50PyquzZ9BaBwLZZd1AuuV,spotify:track:50PyquzZ9BaBwLZZd1AuuV,https://api.spotify.com/v1/tracks/50PyquzZ9BaBwLZZd1AuuV,https://api.spotify.com/v1/audio-analysis/50PyquzZ9BaBwLZZd1AuuV,194693,4,Harmony House,0brMHlMYz5t58uT1Q4bkdF
Yes Indeed___Lil Baby,0.963,0.346,5,-9.309,0,0.53,0.0355,0,0.108,0.562,119.957,audio_features,6vN77lE9LK6HP2DewaN6HZ,spotify:track:6vN77lE9LK6HP2DewaN6HZ,https://api.spotify.com/v1/tracks/6vN77lE9LK6HP2DewaN6HZ,https://api.spotify.com/v1/audio-analysis/6vN77lE9LK6HP2DewaN6HZ,142273,4,Harder Than Ever,7yf9ZJyHRbp8sHtpDKfPpt
Ep 58: Perthonality (with Potato Corner Hailey Bieber)___Jumping In An Elevator,0.535,0.715,6,-6.716,1,0.0266,0.197,0.0597,0.0953,0.503,89.022,audio_features,2Ob8RRHBoW9H09yvjmUYtW,spotify:track:2Ob8RRHBoW9H09yvjmUYtW,https://api.spotify.com/v1/tracks/2Ob8RRHBoW9H09yvjmUYtW,https://api.spotify.com/v1/audio-analysis/2Ob8RRHBoW9H09yvjmUYtW,212680,4,Capacity,3jXbdginoAtjcBqT7GcYRd
Bliss Abroad___Masego,0.748,0.342,0,-9.633,0,0.0513,0.744,0,0.254,0.566,104.958,audio_features,7bnhPW64dgFLk7OiCOqzqh,spotify:track:7bnhPW64dgFLk7OiCOqzqh,https://api.spotify.com/v1/tracks/7bnhPW64dgFLk7OiCOqzqh,https://api.spotify.com/v1/audio-analysis/7bnhPW64dgFLk7OiCOqzqh,191958,4,Studying Abroad: Extended Stay,1S0yIZRDiFmqCQyTIEV175
Because I Love You___Montaigne,0.764,0.827,0,-3.445,1,0.0321,0.114,0,0.0363,0.966,118.006,audio_features,6PLazKHpb8YMtGh1J2C5qe,spotify:track:6PLazKHpb8YMtGh1J2C5qe,https://api.spotify.com/v1/tracks/6PLazKHpb8YMtGh1J2C5qe,https://api.spotify.com/v1/audio-analysis/6PLazKHpb8YMtGh1J2C5qe,217627,4,Glorious Heights,6CRLOlHtioVtK0Q3oIBJpI
Crave___Paramore,0.669,0.63,11,-9.083,1,0.0319,0.00788,0.000316,0.165,0.365,131.014,audio_features,7wYCva1bI1AkHRQoVXhy8F,spotify:track:7wYCva1bI1AkHRQoVXhy8F,https://api.spotify.com/v1/tracks/7wYCva1bI1AkHRQoVXhy8F,https://api.spotify.com/v1/audio-analysis/7wYCva1bI1AkHRQoVXhy8F,235013,4,This Is Why,6tG8sCK4htJOLjlWwb7gZB
Purple Rain___Prince,0.367,0.452,10,-10.422,1,0.0307,0.0353,0.00228,0.689,0.189,113.066,audio_features,54X78diSLoUDI3joC2bjMz,spotify:track:54X78diSLoUDI3joC2bjMz,https://api.spotify.com/v1/tracks/54X78diSLoUDI3joC2bjMz,https://api.spotify.com/v1/audio-analysis/54X78diSLoUDI3joC2bjMz,520787,4,Purple Rain,7nXJ5k4XgRj5OLg9m8V3zc
